GRSM3,GRSM4,HARV1,HARV4,LENO1,LENO2,LENO3,LENO4,OSBS1,OSBS2,SCBI1,UNDE3,WREF2,WREF4
0.06788128,0.031293612,0.019461828,0.019157564,0.025123363,0.025535344,0.026438972,0.022522163,0.030938729,0.018883503,0.034488083,0.020354781,0.018165074,0.017678915
0.067831324,0.03109942,0.019204511,0.019352758,0.024696373,0.025543988,0.025543567,0.022319528,0.031671032,0.018380372,0.034967399,0.020654846,0.01836674,0.017652404
0.067781369,0.030905229,0.018947193,0.019547951,0.024269384,0.025552632,0.024648161,0.022116893,0.032403336,0.017877241,0.035446714,0.020954912,0.018568406,0.017625893
0.067731414,0.030711038,0.018689876,0.019743145,0.023842394,0.025561277,0.023752756,0.021914257,0.03313564,0.017374111,0.03592603,0.021254978,0.018770071,0.017599382
0.067681459,0.030516847,0.018432558,0.019938338,0.023415405,0.025569921,0.02285735,0.021711622,0.033867944,0.01687098,0.036405345,0.021555044,0.018971737,0.017572871
0.067631503,0.030322655,0.018175241,0.020133532,0.022988415,0.025578565,0.021961945,0.021508987,0.034600247,0.016367849,0.036884661,0.021855109,0.019173403,0.01754636
0.067581548,0.030128464,0.017917923,0.020328725,0.022561426,0.025587209,0.021066539,0.021306352,0.035332551,0.015864718,0.037363976,0.022155175,0.019375069,0.017519849
0.066434641,0.032785209,0.019539639,0.021087452,0.022346019,0.026240342,0.021927548,0.021880909,0.032631519,0.015264956,0.042661072,0.02307065,0.018284249,0.016778956
0.065287734,0.035441955,0.021161355,0.021846179,0.022130612,0.026893474,0.022788557,0.022455466,0.029930487,0.014665195,0.047958168,0.023986125,0.017193429,0.016038063
0.064140827,0.0380987,0.022783071,0.022604906,0.021915205,0.027546607,0.023649566,0.023030023,0.027229455,0.014065433,0.053255264,0.0249016,0.016102609,0.01529717
0.062993919,0.040755445,0.024404787,0.023363632,0.021699798,0.028199739,0.024510575,0.02360458,0.024528424,0.013465671,0.05855236,0.025817074,0.01501179,0.014556276
0.061847012,0.04341219,0.026026503,0.024122359,0.021484391,0.028852872,0.025371584,0.024179137,0.021827392,0.012865909,0.063849456,0.026732549,0.01392097,0.013815383
0.060700105,0.046068936,0.027648219,0.024881086,0.021268984,0.029506004,0.026232593,0.024753694,0.01912636,0.012266148,0.069146552,0.027648024,0.01283015,0.01307449
0.059553198,0.048725681,0.029269935,0.025639813,0.021053577,0.030159137,0.027093602,0.025328251,0.016425328,0.011666386,0.074443648,0.028563499,0.01173933,0.012333597
0.061098979,0.04846123,0.029411183,0.025353435,0.021740874,0.030456731,0.027445744,0.026203645,0.015922911,0.011673765,0.074015073,0.028657776,0.011699688,0.012135729
0.062644761,0.04819678,0.029552431,0.025067058,0.022428171,0.030754326,0.027797887,0.027079039,0.015420494,0.011681144,0.073586498,0.028752053,0.011660046,0.011937862
0.064190543,0.047932329,0.02969368,0.02478068,0.023115468,0.03105192,0.028150029,0.027954433,0.014918076,0.011688522,0.073157922,0.028846331,0.011620404,0.011739994
0.065736324,0.047667879,0.029834928,0.024494303,0.023802765,0.031349514,0.028502171,0.028829826,0.014415659,0.011695901,0.072729347,0.028940608,0.011580762,0.011542127
0.067282106,0.047403428,0.029976176,0.024207925,0.024490062,0.031647109,0.028854314,0.02970522,0.013913242,0.01170328,0.072300772,0.029034885,0.01154112,0.01134426
0.068827887,0.047138978,0.030117424,0.023921548,0.025177359,0.031944703,0.029206456,0.030580614,0.013410825,0.011710659,0.071872197,0.029129162,0.011501478,0.011146392
0.067625087,0.047671628,0.029737492,0.02422449,0.026596745,0.032268988,0.029674577,0.030951837,0.013189598,0.011404675,0.070030857,0.030195201,0.011313911,0.010862206
0.066422288,0.048204279,0.029357561,0.024527431,0.028016131,0.032593273,0.030142698,0.03132306,0.012968371,0.011098691,0.068189517,0.031261239,0.011126344,0.010578021
0.065219488,0.048736929,0.028977629,0.024830373,0.029435518,0.032917559,0.030610818,0.031694284,0.012747144,0.010792708,0.066348178,0.032327278,0.010938776,0.010293835
0.064016688,0.049269579,0.028597697,0.025133315,0.030854904,0.033241844,0.031078939,0.032065507,0.012525917,0.010486724,0.064506838,0.033393316,0.010751209,0.010009649
0.062914021,0.047293596,0.028208936,0.024432417,0.033498864,0.033632063,0.031190939,0.031602525,0.013346611,0.010498486,0.060525519,0.032933528,0.010541362,0.010170906
0.061811353,0.045317613,0.027820174,0.023731519,0.036142824,0.034022282,0.031302939,0.031139543,0.014167305,0.010510248,0.056544199,0.03247374,0.010331514,0.010332163
